"intexts","Freq"
"amenities",99
"amer",10
"america",2892
"american",5041
"americana",36
"americanidol",5
"americano",7
"americans",1454
"americanu",3
"americas",69
"ames",13
"amex",20
"amg",9
"ami",25
"amid",352
"amidst",88
"amiga",5
"amigo",10
"amigos",12
"amiright",4
"amirite",3
"amish",43
"ammo",30
"amnesty",51
"amo",9
"among",3695
"amongst",324
"amor",22
"amore",19
"amos",41
"amount",1923
"amounts",408
"amp",248
"amped",22
"amphitheater",26
"ample",102
"amps",18
"ams",3
"amsterdam",104
"amt",6
"amtrak",63
"amuse",44
"amused",69
"amuses",3
"amusing",139
"amwriting",5
"amy",449
"an",54327
"ana",188
"anacostia",3
"anagram",4
"anaheim",170
"anal",34
"analog",31
"analogies",11
"analogy",104
"analysis",687
"analyst",408
"analysts",525
"analytical",43
"analytics",84
"analyze",109
"analyzing",74
"anarchy",48
"anas",5
"anatomy",70
"anc",175
"ancestors",130
"anchor",190
"anchorage",32
"anchoring",13
"anchorman",9
"anchors",56
"ancient",517
"and",455417
"andd",3
"andersen",24
"anderson",508
"andino",10
"andre",163
"andrea",190
"andreas",24
"andres",26
"andrew",764
"andrews",156
"android",285
"androids",14
"andy",454
"anecdotes",50
"anesthesia",36
"anew",46
"ang",36
"angel",524
"angela",167
"angeles",1357
"angelic",42
"angelica",25
"angelina",69
"angelo",80
"angelos",14
"angelou",13
"angels",573
"anger",534
"angie",75
"angle",250
"angles",91
"angry",799
"angst",74
"anguish",46
"angus",52
"animal",1032
"animals",995
"animated",164
"animation",153
"animations",14
"anime",103
"aniston",11
"anita",79
"ankle",309
"ann",516
"anna",326
"annabelle",18
"annapolis",51
"anne",401
"annex",31
"annie",226
"annika",21
"anniv",4
"anniversary",744
"annotating",7
"announce",409
"announced",1599
"announcement",508
"announcements",104
"announcer",62
"announcers",18
"announces",121
"announcing",208
"annoy",62
"annoyance",42
"annoyed",173
"annoying",481
"annoys",32
"annual",1617
"annually",284
"anodyne",8
"anointed",34
"anointing",19
"anon",11
"anonymity",107
"anonymous",235
"anorexic",11
"another",12109
"ans",15
"anson",3
"answer",2312
"answered",473
"answering",210
"answers",685
"ant",59
"antarctica",37
"ante",23
"antebellum",32
"antelope",34
"antenna",40
"anthem",121
"anthology",81
"anthony",735
"anthrax",25
"anthro",10
"anthropologists",9
"anthropology",25
"anti",1209
"antibiotics",120
"antichrist",23
"anticipate",115
"anticipated",235
"anticipating",74
"anticipation",192
"antics",68
"antidote",37
"antigua",13
"antioch",22
"antioxidant",29
"antique",227
"antiques",71
"antisocial",8
"antoine",32
"anton",44
"antonio",291
"ants",77
"antsy",20
